User,Average ratings on beaches,Average ratings on parks,Average ratings on malls,Average ratings on beauty & spas,Average ratings on cafes,,,
190,1.91,3.21,4.54,1.06,1.51,,,
191,1.91,3.21,3.89,0.57,1.51,,,
192,1.91,3.24,3.89,1.06,1.38,,,
193,1.91,3.23,3.89,1.05,1.38,,,
194,1.91,3.24,3.89,1.06,1.11,,,
195,1.91,3.24,3.89,1.06,1.11,,,
196,1.91,3.23,3.89,1.06,1.1,,,
197,1.95,3.26,3.89,0.88,1.11,,,
198,5,5,3.89,0.88,1.1,,,
199,5,1.81,3.95,0.88,1.09,,,
200,1.91,1.79,4.53,0.53,1.09,,,
201,1.91,3.23,4.53,0.52,1.08,,,
202,1.91,5,3.91,0.52,1.08,,,
203,1.91,1.92,3.25,0.51,1.05,,,
204,1.42,1.92,4.57,0.51,1.04,,,
205,1.41,1.92,3.99,0.66,1.09,,,
206,1.41,1.92,3.24,0.66,1.09,,,
207,1.91,1.93,3.24,0.59,5,,,
208,1.92,1.93,5,0.57,5,,,
209,1.92,5,5,0,0.51,,,
210,1.92,1.92,4.36,0,0.51,,,
211,1.92,1.93,3.26,0.54,0.5,,,
212,1.93,1.92,4.35,0,0,,,
213,1.93,1.92,4.35,0,0.5,,,
214,1.92,1.92,4.35,0,0.5,,,
215,1.93,1.92,4.35,0.55,0.5,,,
216,1.93,1.93,4.35,0,0.5,,,
217,1.93,1.93,4.34,0,0.51,,,
218,1.94,1.93,3.25,0,0.51,,,
219,1.94,1.94,3.25,0,0.51,,,
220,1.94,1.94,3.24,0,1.46,,,
221,1.95,1.94,3.24,0,5,,,
222,2.55,1.95,3.24,0,5,,,
223,5,1.95,3.23,0,5,,,
224,1.46,1.96,3.23,0,5,,,
225,2.56,1.97,3.23,0,0.67,,,
226,1.47,1.97,3.22,0,0.68,,,
227,1.48,1.97,3.22,0,0.65,,,
228,1.49,1.98,3.22,0,1.53,,,
229,1.5,1.53,3.22,0,0.68,,,
230,1.5,1.53,3.21,0,5,,,
231,1.51,1.54,3.21,0,0.67,,,
232,1.52,1.55,3.21,0,0.68,,,
233,1.53,1.56,3.21,0,5,,,
234,1.53,1.56,3.2,0.5,5,,,
235,1.54,1.57,3.2,0.5,5,,,
236,1.55,1.58,3.2,0.5,5,,,
237,1.56,1.59,3.2,0.51,1.62,,,
238,1.57,1.6,3.2,0.51,5,,,
239,1.58,2.03,3.19,0.51,5,,,
240,1.59,1.62,3.19,0.51,5,,,
241,2.05,1.63,3.18,0.52,5,,,
242,1.61,1.64,3.18,0.52,0.67,,,
243,1.63,1.65,3.17,0.53,0.64,,,
244,1.65,2.05,3.17,0.53,0.71,,,
245,1.66,1.68,3.16,0.54,0.65,,,
246,1.67,2.06,3.16,0.54,0.66,,,
247,1.7,1.71,3.15,0.55,0.68,,,
248,1.71,1.51,3.14,0.56,0.69,,,
249,1.73,1.5,3.13,0.57,0.72,,,
250,1.75,1.63,3.13,0.57,0.73,,,
251,1.76,1.62,3.12,0.58,0.74,,,
252,1.78,1.58,3.12,0.59,0.8,,,
253,1.8,1.53,3.11,0.6,0.73,,,
254,5,1.56,3.1,0.6,0.75,,,
255,1.84,1.53,3.09,0.61,5,,,
256,5,1.54,3.09,0.62,5,,,
257,5,1.54,3.08,0.63,5,,,
258,1.9,1.56,3.07,0.63,5,,,
259,5,1.77,3.06,0.64,5,,,
260,5,1.79,3.06,0.65,5,,,
261,2.32,5,3.05,0.66,5,,,
262,2.34,1.61,3.04,0.66,5,,,
263,1.83,5,3.04,0.67,5,,,
264,1.84,1.66,3.03,0.68,5,,,
265,1.86,5,3.02,0.69,5,,,
266,1.86,5,3.01,0.7,5,,,
267,1.87,5,3.01,0.7,5,,,
268,1.88,5,3,0.71,5,,,
269,1.89,5,2.99,0.72,5,,,
270,1.89,5,2.99,0.72,5,,,
271,1.9,2.27,2.98,0.74,5,,,
272,1.91,2.28,2.97,0.74,5,,,
273,1.92,2.29,2.96,0.74,5,,,
274,1.93,4.01,2.96,0.74,5,,,
275,1.92,4,2.95,0.74,0.8,,,
276,2.02,2.19,2.94,0.75,5,,,
277,1.94,2.31,2.94,0.75,5,,,
278,1.93,3.98,2.93,0.76,5,,,
279,1.86,2.3,2.92,0.77,5,,,
280,1.88,2.32,2.91,0.77,5,,,
281,1.89,2.32,2.91,0.78,5,,,
282,1.9,2.33,2.9,0.79,5,,,
283,1.92,2.34,2.89,0.8,5,,,
284,1.92,2.01,2.89,0.81,5,,,
285,1.94,2.01,2.88,0.81,5,,,
286,1.96,2.37,2.87,0.82,5,,,
287,1.97,2.38,2.87,0.82,5,,,
288,1.99,3.93,2.86,0.83,5,,,
289,2,2.37,2.86,0.83,5,,,
290,1.97,2.37,2.86,0.84,4.22,,,
291,1.98,2.37,2.87,0.84,4.22,,,
292,1.99,2.37,2.87,0.84,4.22,,,
293,1.98,2.38,2.87,0.84,4.22,,,
294,1.98,2.38,2.87,0.84,4.22,,,
295,1.99,2.39,2.87,0.84,4.22,,,
296,1.99,2.39,2.87,0.84,4.22,,,
297,1.99,2.39,2.86,0.85,4.22,,,
298,2,2.39,2.86,0.84,4.22,,,
299,2.02,2.39,2.86,0.84,4.22,,,
300,2.01,2.39,2.86,0.86,4.22,,,
301,2.01,2.39,2.86,0.86,4.22,,,
302,2.01,2.39,2.87,0.86,4.22,,,
303,2.01,2.39,2.87,0.86,4.22,,,
304,2.02,2.39,2.86,0.86,4.22,,,
305,2.01,2.39,2.86,0.84,4.23,,,
306,2.01,2.39,2.86,0.84,4.23,,,
307,2.01,2.39,2.85,0.85,4.23,,,
308,2.03,2.4,2.84,0.86,4.24,,,
309,2.04,2.4,2.84,0.87,4.24,,,
310,2.05,2.41,2.83,0.92,4.25,,,
311,2.06,2.42,2.82,0.89,4.25,,,
312,2.07,2.43,2.81,5,4.26,,,
313,2.08,2.1,2.81,0.91,4.26,,,
314,2.16,5,2.8,0.94,4.27,,,
315,2.09,2.12,2.79,0.91,4.28,,,
316,2.11,5,2.78,0.91,4.28,,,
317,2.11,5,2.78,0.92,5,,,
318,2.12,2.48,2.78,0.92,5,,,
319,2.13,5,2.78,0.91,5,,,
320,2.11,5,2.79,0.91,5,,,
321,2.63,5,2.79,0.91,5,,,
322,2.12,5,2.79,0.91,5,,,
323,2.11,5,2.79,0.91,5,,,
324,2.13,5,2.79,0.91,5,,,
325,2.63,5,5,0.91,5,,,
326,2.63,5,5,0.91,5,,,
327,2.63,5,5,0.91,5,,,
328,2.13,5,5,0.91,5,,,
329,2.62,2.22,5,0.91,5,,,
330,2.62,2.21,5,0.91,5,,,
331,2.62,2.19,5,0.86,0.94,,,
332,2.62,2.19,2.8,0.86,0.94,,,
333,2.63,2.19,2.8,0.85,0.91,,,
334,5,2.21,2.81,0.85,0.91,,,
335,5,2.13,2.82,0.85,0.9,,,
336,2.65,2.13,2.82,0.89,0.9,,,
337,2.62,2.14,4.29,0.89,0.9,,,
338,2.62,5,4.3,0.87,0.9,,,
339,2.62,2.64,5,0.87,0.9,,,
340,2.62,2.64,5,0.86,0.92,,,
341,2.62,2.64,3.85,0.86,0.85,,,
342,2.63,2.64,3.85,0.86,0.85,,,
343,2.63,2.64,3.84,0.86,0.84,,,
344,2.63,2.64,3.84,0.85,0.85,,,
345,2.62,5,3.84,0.86,1.1,,,
346,2.63,5,3.84,0.86,1.1,,,
347,2.63,5,3.84,0.75,1.1,,,
348,2.63,5,3.84,0.74,1.1,,,
349,2.63,5,3.84,0.73,1.1,,,
350,2.63,2.65,3.84,0.73,1.1,,,
351,2.64,2.65,3.84,0.73,1.11,,,
352,2.64,5,3.84,0.73,1.18,,,
353,2.7,2.64,3.85,0.73,0.86,,,
354,2.65,2.64,3.85,0.73,0.85,,,
355,2.7,2.64,3.85,0.73,0.85,,,
356,2.71,2.64,3.85,0.73,0.85,,,
357,2.72,2.64,3.85,0.73,0.84,,,
358,5,2.64,3.85,0.73,0.85,,,
359,2.72,2.64,2.71,0.83,0.85,,,
360,2.43,2.64,3.85,0.83,0.74,,,
361,5,2.64,3.85,0.74,0.74,,,
362,2.43,2.64,3.85,0.74,0.74,,,
363,2.43,2.64,3.85,0.83,0.74,,,
364,5,2.65,2.26,0.83,0.74,,,
365,2.43,2.65,3.85,0.83,1.21,,,
366,2.43,2.64,3.85,0.83,0.74,,,
367,2.44,2.65,3.85,0.83,1.22,,,
368,2.44,2.65,2.86,0.83,1.22,,,
369,2.44,2.65,3.84,0.84,0.75,,,
370,2.45,2.66,2.17,0.82,0.75,,,
371,2.45,2.66,3.83,0.82,0.75,,,
372,2.46,2.66,3.82,0.77,0.76,,,
373,2.46,2.67,2.16,0.77,0.76,,,
374,2.47,2.67,2.16,0.83,0.77,,,
375,2.48,2.67,2.15,0.84,0.78,,,
376,2.49,2.68,2.15,0.8,0.79,,,
377,2.5,2.68,2.14,0.8,0.8,,,
378,2.51,2.69,2.14,0.82,0.82,,,
379,2.52,2.7,5,0.83,0.84,,,
380,2.53,2.7,2.75,0.84,0.92,,,
381,2.54,2.71,5,0.93,0.92,,,
382,2.54,2.71,2.09,0.86,0.93,,,
383,2.55,2.72,2.09,0.78,0.94,,,
384,2.56,2.72,2.08,0.77,0.95,,,
385,2.56,2.72,2.09,0.77,0.95,,,
386,2.57,2.73,2.08,0.77,0.96,,,
387,2.58,2.73,2.1,0,0.97,,,
388,2.59,2.74,2.09,0,0.98,,,
389,2.6,2.74,2.08,0,0.99,,,
390,2.61,2.75,2.08,0,0.93,,,
391,2.63,2.75,2.07,0,1,,,
392,2.64,3.8,2.07,0,0.96,,,
393,2.65,2.77,2.06,0,1.05,,,
394,2.66,2.77,2.06,0,1.07,,,
395,2.68,3.84,2.08,0.51,1.09,,,
396,2.69,2.78,1.99,0.52,1.1,,,
397,2.7,2.79,2.06,0.54,0.53,,,
398,2.72,3.54,2.04,0.55,0.55,,,
399,2.73,3.56,2.03,0.57,0.56,,,
400,2.75,2.8,5,0.58,0.57,,,
401,2.76,3.59,5,0.59,0.59,,,
402,3.21,3.6,2.06,0.61,0.6,,,
403,5,3.61,2.05,0.63,0.62,,,
404,5,2.86,2.06,0.64,0.63,,,
405,5,3.97,2.03,0.66,0.65,,,
406,5,2.83,5,0.67,0.67,,,
407,5,4,5,0.68,0.68,,,
408,5,3.69,5,0.71,0.7,,,
409,5,3.7,3.41,0.67,0.71,,,
410,5,5,3.4,0.67,0.73,,,
411,5,5,3.39,0.66,0.74,,,
412,2.92,5,3.36,0.77,0.76,,,
413,2.94,5,3.35,0.78,0.77,,,
414,2.95,5,3.34,0.8,0.79,,,
415,4.09,5,3.33,0.81,0.8,,,
416,4.1,5,3.31,0.64,0.82,,,
417,4.1,5,3.31,0.63,0.83,,,
418,4.11,5,3.32,0.86,0.85,,,
419,4.12,5,3.27,0.63,0.86,,,
420,4.12,5,3.26,0.63,0.88,,,
421,4.13,5,3.25,0.9,0.89,,,
422,4.14,5,3.23,0.92,0.91,,,
423,4.14,5,3.22,0.93,0.92,,,
424,4.16,5,3.21,0.95,0.94,,,
425,4.16,5,3.2,0.96,0.95,,,
426,4.17,5,3.19,0.98,0.97,,,
427,4.18,5,3.18,1,0.98,,,
428,4.19,5,3.17,1.01,1,,,
429,4.2,5,5,1.02,1.01,,,
430,5,5,3.13,1.04,1.03,,,
431,5,5,3.12,1.05,1.04,,,
432,4.24,5,5,1.07,1.06,,,
433,4.23,5,5,1.08,1.07,,,
434,4.24,5,5,1.09,1.08,,,
435,4.25,5,3.06,1.1,1.09,,,
436,4.25,5,3.06,0.57,1.1,,,
437,4.25,5,3.07,0.55,1.1,,,
438,4.24,5,3.09,1.11,1.09,,,
439,4.24,5,3.09,1.11,1.1,,,
440,4.25,5,3.09,1.11,1.1,,,
441,4.25,5,3.09,1.11,1.1,,,
442,4.25,5,5,1.11,1.1,,,
443,4.24,5,5,1.11,1.09,,,
444,4.25,5,5,0.55,1.09,,,
445,4.25,5,5,0.54,1.09,,,
446,5,5,5,0.53,1.09,,,
447,5,4.25,2,0.53,1.09,,,
448,3.25,5,2,0.53,0.58,,,
449,5,5,2,0.53,0.58,,,
450,5,5,2.01,0.53,0.58,,,
451,5,4.26,2,0.53,1.1,,,
452,5,5,2,0.53,0.58,,,
453,5,5,2,0.53,0.58,,,
454,3.26,5,2,0.52,0.58,,,
455,3.27,5,2,0.52,1.61,,,
456,3.28,5,2,0.52,1.62,,,
457,3.29,5,1.99,0.52,1.63,,,
458,3.28,4.27,1.98,0.52,1.64,,,
459,3.29,4.27,1.98,0.51,5,,,
460,3.3,4.28,1.98,0.66,1.17,,,
461,3.31,4.28,1.97,0.67,1.18,,,
462,5,4.29,5,0.68,1.18,,,
463,3.33,4.29,1.97,0.7,1.19,,,
464,3.34,4.3,1.96,4.3,1.19,,,
465,3.34,4.3,1.87,0.71,1.21,,,
466,5,4.31,1.85,0.72,1.21,,,
467,5,4.31,1.85,4.31,1.23,,,
468,5,4.31,1.85,4.31,5,,,
469,5,4.32,1.84,4.32,0.73,,,
470,5,4.33,1.84,4.32,0.74,,,
471,5,4.33,1.84,4.33,0.74,,,
472,5,4.34,1.84,4.34,0.75,,,
473,5,4.34,1.83,4.34,0.75,,,
474,5,4.35,1.83,4.35,0.76,,,
475,5,4.35,1.83,4.36,0.77,,,
476,5,4.35,1.83,0.51,0.77,,,
477,5,4.36,1.82,0.51,0.78,,,
478,5,4.36,1.82,0.51,0.79,,,
479,5,4.37,1.82,0.51,0.54,,,
480,5,4.38,1.81,0.51,0.54,,,
481,5,4.39,1.81,0.51,5,,,
482,5,5,1.81,0.53,5,,,
483,5,5,1.81,0.52,0.54,,,
484,5,5,1.8,0.52,4.4,,,
485,5,4.41,1.8,0.51,4.41,,,
486,5,4.42,1.8,0.52,4.41,,,
487,5,4.42,1.79,0.52,4.41,,,
488,5,4.43,1.79,0.52,4.42,,,
489,5,5,1.79,0.53,4.44,,,
490,5,5,1.78,0.52,4.44,,,
491,5,5,1.78,0.52,4.44,,,
492,5,5,1.77,0.53,4.46,,,
493,5,5,1.77,0.53,5,,,
494,5,5,1.76,0.53,4.47,,,
495,5,5,1.76,0.54,4.48,,,
496,5,5,1.75,0.54,4.49,,,
497,5,5,1.75,0.55,4.51,,,
498,5,5,1.74,0.55,5,,,
499,5,5,1.73,0.56,5,,,
500,5,5,1.73,0.56,5,,,
501,5,5,1.72,0.57,5,,,
502,5,5,1.71,0.57,5,,,
503,5,5,1.71,0.58,5,,,
504,5,5,1.7,0.59,5,,,
505,5,5,1.69,0.59,5,,,
506,5,5,1.68,0.6,5,,,
507,5,5,1.65,0.61,5,,,
508,5,5,1.63,0.62,5,,,
509,5,5,1.62,0.63,5,,,
510,1.76,5,1.61,0.63,5,,,
511,5,5,1.6,0.64,5,,,
512,5,5,1.59,0.65,5,,,
513,5,5,1.58,0.65,5,,,
514,5,5,1.57,0.65,5,,,
515,5,5,1.56,0.66,5,,,
516,5,2.32,1.56,0.67,5,,,
517,5,5,1.55,0.67,5,,,
518,5,2.4,1.54,0.68,5,,,
519,5,5,1.53,0.69,5,,,
520,5,5,1.53,0.69,5,,,
521,5,5,1.52,0.7,5,,,
522,5,5,1.52,0.7,0.74,,,
523,5,5,1.52,0.69,5,,,
524,5,5,1.53,0.69,5,,,
525,5,5,1.53,0.69,5,,,
526,5,5,1.53,0.69,5,,,
527,5,5,1.53,0.69,5,,,
528,5,2.62,1.53,0.69,5,,,
529,5,5,1.53,0.69,5,,,
530,5,5,1.53,0.69,5,,,
531,5,5,1.53,0.69,5,,,
532,5,5,1.53,0.7,0.74,,,
533,5,5,1.54,0.69,0.71,,,
534,5,5,1.55,0.68,0.7,,,
535,5,5,1.61,0.68,0.7,,,
536,5,5,1.55,0.68,0.69,,,
537,5,5,1.55,0.67,0.69,,,
538,5,5,1.55,0.67,0.68,,,
539,5,5,1.55,0.67,0.68,,,
540,5,5,1.56,0.67,0.68,,,
541,5,5,1.56,0.67,0.67,,,
542,5,5,1.56,0.67,0.68,,,
543,3.24,5,1.58,0.67,0.67,,,
544,3.23,5,5,0.66,0.67,,,
545,3.23,5,1.57,0.66,0.66,,,
546,3.23,5,1.58,0.67,0.66,,,
547,3.23,5,1.58,0.66,0.66,,,
548,3.23,5,1.59,0.66,0.66,,,
549,2.75,5,1.6,0.66,0.65,,,
550,2.74,5,1.6,0.66,0.65,,,
551,2.74,5,5,0.66,0.65,,,
552,2.76,3.25,5,0.66,0.65,,,
553,2.75,3.25,5,0.67,0.65,,,
554,2.76,2.97,1.62,0.67,0.66,,,
555,2.76,3.25,1.62,0.66,0.65,,,
556,2.77,3.25,1.62,0.67,0.65,,,
557,2.49,3.25,1.63,0.67,0.65,,,
558,2.04,2.78,1.63,0.67,0.65,,,
559,2.05,3.25,1.62,0.67,0.66,,,
560,2.05,3.25,1.61,0.68,0.66,,,
561,2.78,3.26,1.6,0.69,0.67,,,
562,2.79,3.26,1.59,0.7,0.68,,,
563,2.8,3.27,1.58,0.71,0.7,,,
564,2.09,3.28,1.57,0.73,0.71,,,
565,2.1,3.29,1.55,0.74,0.73,,,
566,2.11,3.3,4.1,0.76,0.74,,,
567,2.12,3.32,5,0.77,0.76,,,
568,2.14,3.33,5,0.79,0.78,,,
569,2.86,3.33,1.49,0.81,0.79,,,
570,2.17,3.34,1.47,0.83,0.81,,,
571,2.88,3.36,4.06,0.85,0.83,,,
572,2.2,5,4.05,0.87,0.85,,,
573,2.21,3.07,4.05,0.89,0.87,,,
574,2.22,3.07,4.04,0.91,0.89,,,
575,2.24,3.08,4.03,0.92,0.91,,,
576,2.25,3.08,4.02,0.94,0.93,,,
577,2.27,3.08,5,0.97,0.95,,,
578,2.28,3.08,5,0.98,0.96,,,
579,2.3,3.09,5,1,0.98,,,
580,2.31,3.09,5,1.02,1.01,,,
581,2.32,3.11,5,1.04,1.02,,,
582,2.34,3.11,5,1.06,1.05,,,
583,2.36,3.15,5,1.08,1.06,,,
584,2.37,3.13,5,1.1,1.08,,,
585,2.39,3.14,5,1.12,1.1,,,
586,2.4,5,5,1.14,1.12,,,
587,2.42,3.16,5,1.16,1.14,,,
588,2.43,3.22,1.13,1.18,1.16,,,
589,2.44,3.17,5,1.2,1.18,,,
590,2.46,3.17,5,1.21,1.2,,,
591,2.47,3.18,5,1.23,1.21,,,
592,2.49,3.17,5,1.25,1.23,,,
593,2.51,3.19,1.04,1.27,1.25,,,
594,2.52,3.16,1.02,1.28,1.27,,,
595,2.53,3.18,1,1.3,1.28,,,
596,2.56,3.19,0.98,1.32,1.3,,,
597,2.57,3.22,0.96,1.34,1.32,,,
598,2.58,3.21,0.95,1.35,1.34,,,
599,2.59,3.22,0.93,1.37,1.36,,,
600,1.48,3.24,0.91,1.39,1.38,,,
601,2.62,3.24,0.9,1.4,1.39,,,
602,1.5,3.25,0.89,1.42,1.4,,,
603,2.62,3.26,5,1.42,1.4,,,
604,2.62,3.25,5,1.42,1.4,,,
605,2.62,3.26,5,1.42,1.4,,,
606,2.62,3.26,5,1.42,1.4,,,
